"Region","Source VM","OS","CPU policy","Status","Recommended VM","Source hourly","Recommended hourly","Monthly saving","Saving %","Currency","Confidence","Explanation"
"uksouth","Standard_D48s_v6","linux","same-vendor","recommended","Standard_D48as_v7","2.119","1.9198","145.416","9.400661","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 9.4% lower PAYG price."
"uksouth","Standard_D48s_v6","linux","prefer-same-vendor","recommended","Standard_D48as_v7","2.119","1.9198","145.416","9.400661","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 9.4% lower PAYG price."
"uksouth","Standard_D48s_v6","linux","any-compatible","recommended","Standard_D48as_v7","2.119","1.9198","145.416","9.400661","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 9.4% lower PAYG price."
"uksouth","Standard_D4a_v4","linux","same-vendor","recommended","Standard_D4_v3","0.1682","0.1758","-5.548","-4.51843","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 4.5% higher PAYG price."
"uksouth","Standard_D4a_v4","linux","prefer-same-vendor","recommended","Standard_D4_v3","0.1682","0.1758","-5.548","-4.51843","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 4.5% higher PAYG price."
"uksouth","Standard_D4a_v4","linux","any-compatible","recommended","Standard_D4_v3","0.1682","0.1758","-5.548","-4.51843","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 4.5% higher PAYG price."
"uksouth","Standard_D4ads_v5","linux","same-vendor","recommended","Standard_E4ads_v5","0.3212","0.3727","-37.595","-16.033624","GBP","Medium","required usable CPU and memory preserved, AMD/x64 preserved, temporary storage requirement preserved, Premium SSD supported and 16.0% higher PAYG price."
"uksouth","Standard_D4ads_v5","linux","prefer-same-vendor","recommended","Standard_D4ds_v4","0.3212","0.1985","89.571","38.200498","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 38.2% lower PAYG price."
"uksouth","Standard_D4ads_v5","linux","any-compatible","recommended","Standard_D4ds_v4","0.3212","0.1985","89.571","38.200498","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 38.2% lower PAYG price."
"uksouth","Standard_D4ads_v6","linux","same-vendor","recommended","Standard_B4as_v2","0.2008","0.1288","52.56","35.856574","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 35.9% lower PAYG price."
"uksouth","Standard_D4ads_v6","linux","prefer-same-vendor","recommended","Standard_B4as_v2","0.2008","0.1288","52.56","35.856574","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 35.9% lower PAYG price."
"uksouth","Standard_D4ads_v6","linux","any-compatible","recommended","Standard_B4as_v2","0.2008","0.1288","52.56","35.856574","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 35.9% lower PAYG price."
